customer_id,name,signup_date,segment,city
CUST001,Suresh Sharma,2023-07-23,Regular,Hyderabad
CUST002,Shreya Bose,2022-07-06,Regular,Delhi
CUST003,Kavya Sharma,2022-09-30,Regular,Ahmedabad
CUST004,Amit Joshi,2022-09-16,,Mumbai
CUST005,Sneha Gupta,2023-02-03,Regular,Pune
CUST006,Kavya Desai,2023-09-05,Regular,Chennai
CUST007,Neha Verma,2022-09-02,Regular,Mumbai
CUST008,Ishita Menon,2024-01-09,Premium,Bengaluru
CUST009,Meera Joshi,2023-11-20,Regular,Ahmedabad
CUST010,Karthik Sharma,2022-07-12,Regular,Kolkata
CUST011,Meera Kapoor,2023-08-12,Premium,Delhi
CUST012,Vivek Gupta,2022-12-02,Regular,Mumbai
CUST013,Ritu Menon,2023-11-07,Regular,Chennai
CUST014,Shreya Patel,2022-09-08,Regular,Pune
CUST015,Nikhil Reddy,2022-06-12,Regular,Delhi
CUST016,Nisha Gupta,2022-06-22,Regular,Mumbai
CUST017,Kavya Menon,2023-01-24,Regular,Delhi
CUST018,Deepak Gupta,2022-07-10,Premium,Bengaluru
CUST019,Nikhil Reddy,2023-07-19,Regular,Mumbai
CUST020,Divya Sharma,2023-04-27,Regular,Chennai
CUST021,Divya Kulkarni,2023-05-14,Regular,Pune
CUST022,Pooja Reddy,2023-05-05,Regular,Delhi
CUST023,Gaurav Sharma,2024-02-10,Regular,Kolkata
CUST024,Rohit Malhotra,2023-12-15,Regular,Hyderabad
CUST025,Rahul Desai,2022-07-03,Regular,Mumbai
CUST026,Meera Iyer,2023-06-24,Regular,Kolkata
CUST027,Lakshmi Chatterjee,2024-05-28,Regular,Delhi
CUST028,Divya Shetty,2023-08-31,Regular,Mumbai
CUST029,Vivek Bose,2024-03-15,Regular,Mumbai
CUST030,Sneha Joshi,2023-05-22,Regular,Mumbai
CUST031,Sanjay Verma,2023-11-14,Regular,Hyderabad
CUST032,Pooja Desai,2022-10-04,Regular,Mumbai
